player_api_id,player_name,team_api_id,team_fifa_api_id,team_name,team_long_name,Country,League,season,PiyasaDegeri
287645,Menno Heerkes,9791,100634,Heracles Almelo,Heracles Almelo,Netherlands,Netherlands Eredivisie,2015/2016,125000
352402,Menno Koch,9761,1904,NAC Breda,NAC Breda,Netherlands,Netherlands Eredivisie,2014/2015,350000
9079,Mensur Mujdza,8358,25,SC Freiburg,SC Freiburg,Germany,Germany 1. Bundesliga,2014/2015,700000
291106,Mergim Brahimi,9956,322,Grasshopper Club Zürich,Grasshopper Club Zürich,Switzerland,Switzerland Super League,2015/2016,500000
28435,Mergim Mavraj,8722,31,1. FC Köln,1. FC Köln,Germany,Germany 1. Bundesliga,2015/2016,1750000
305248,Merveille Goblet,8475,110913,Waasland-Beveren,Waasland-Beveren,Belgium,Belgium Jupiler League,2015/2016,600000
36378,Mesut Oezil,9825,1,Arsenal,Arsenal,England,England Premier League,2015/2016,50000000
26374,Mevlut Erdinc,9747,62,En Avant de Guingamp,En Avant de Guingamp,France,France Ligue 1,2015/2016,3000000
191788,Mexer,9851,74,Stade Rennais FC,Stade Rennais FC,France,France Ligue 1,2015/2016,5000000
24208,Micah Richards,10252,2,Aston Villa,Aston Villa,England,England Premier League,2015/2016,4500000
34944,Michael Carrick,10260,11,Manchester United,Manchester United,England,England Premier League,2015/2016,3000000
40001,Michael Ciani,8558,452,RCD Espanyol,RCD Espanyol,Spain,Spain LIGA BBVA,2015/2016,500000
37117,Michael Cordier,10001,681,KVC Westerlo,KVC Westerlo,Belgium,Belgium Jupiler League,2014/2015,250000
24531,Michael Dawson,8667,1952,Hull City,Hull City,England,England Premier League,2014/2015,3500000
179239,Michael de Leeuw,8674,1915,FC Groningen,FC Groningen,Netherlands,Netherlands Eredivisie,2015/2016,1500000
241424,Michael Devlin,8429,184,Hamilton Academical FC,Hamilton Academical FC,Scotland,Scotland Premier League,2015/2016,300000
641045,Michael Eisenring,10190,898,FC St. Gallen,FC St. Gallen,Switzerland,Switzerland Super League,2015/2016,250000
